ipc_code,sample_count,sample_ratio,estimated_80pct_train_samples,below_2,below_5,below_10
G06Q10/06,107,0.0108,85,否,否,否
H04L9/40,101,0.0102,80,否,否,否
H05K5/02,54,0.0055,43,否,否,否
G06Q10/04,54,0.0055,43,否,否,否
B60L53/31,46,0.0047,36,否,否,否
G06Q30/02,46,0.0047,36,否,否,否
G06Q10/10,43,0.0044,34,否,否,否
H02J3/38,42,0.0043,33,否,否,否
G05B19/042,41,0.0042,32,否,否,否
H02S20/30,36,0.0036,28,否,否,否
B08B3/02,36,0.0036,28,否,否,否
H02J7/00,34,0.0034,27,否,否,否
G06K9/62,33,0.0033,26,否,否,否
F16M11/04,33,0.0033,26,否,否,否
H04L67/12,32,0.0032,25,否,否,否
G06F21/60,30,0.003,24,否,否,否
G01D21/02,28,0.0028,22,否,否,否
B23K37/04,28,0.0028,22,否,否,否
G06T7/00,28,0.0028,22,否,否,否
G06F16/9535,27,0.0027,21,否,否,否
H04N7/18,26,0.0026,20,否,否,否
H02J13/00,26,0.0026,20,否,否,否
H05K7/20,26,0.0026,20,否,否,否
H02J3/00,25,0.0025,20,否,否,否
B01F27/90,25,0.0025,20,否,否,否
G06Q20/38,25,0.0025,20,否,否,否
B25B11/00,23,0.0023,18,否,否,否
G05B19/418,23,0.0023,18,否,否,否
G06Q10/08,23,0.0023,18,否,否,否
H04N5/225,23,0.0023,18,否,否,否
G06F30/20,23,0.0023,18,否,否,否
E01D21/00,23,0.0023,18,否,否,否
G06F1/18,22,0.0022,17,否,否,否
G06F11/36,22,0.0022,17,否,否,否
B25J11/00,21,0.0021,16,否,否,否
G06F9/50,21,0.0021,16,否,否,否
H02S30/10,21,0.0021,16,否,否,否
A01M7/00,21,0.0021,16,否,否,否
G09B9/00,21,0.0021,16,否,否,否
B08B1/00,20,0.002,16,否,否,否
B23K37/00,20,0.002,16,否,否,否
C02F9/04,20,0.002,16,否,否,否
F21S9/03,20,0.002,16,否,否,否
F16M13/02,20,0.002,16,否,否,否
G08G1/01,19,0.0019,15,否,否,否
G01N33/00,18,0.0018,14,否,否,否
B23Q3/06,18,0.0018,14,否,否,否
G06Q40/04,18,0.0018,14,否,否,否
G06Q30/06,17,0.0017,13,否,否,否
B01J19/18,17,0.0017,13,否,否,否
H02S20/32,16,0.0016,12,否,否,否
G06F11/30,16,0.0016,12,否,否,否
B07B1/28,16,0.0016,12,否,否,否
G06Q40/02,16,0.0016,12,否,否,否
C02F9/10,16,0.0016,12,否,否,否
H01M10/613,16,0.0016,12,否,否,否
B66F11/04,16,0.0016,12,否,否,否
G05D1/02,16,0.0016,12,否,否,否
C02F9/14,16,0.0016,12,否,否,否
H01L31/18,15,0.0015,12,否,否,否
G06F21/57,15,0.0015,12,否,否,否
G01M13/00,15,0.0015,12,否,否,否
A01G25/02,14,0.0014,11,否,否,否
B65G47/91,14,0.0014,11,否,否,否
A23N12/02,14,0.0014,11,否,否,否
B25J9/00,14,0.0014,11,否,否,否
B05B13/02,14,0.0014,11,否,否,否
G06F30/27,14,0.0014,11,否,否,否
H04L9/32,14,0.0014,11,否,否,否
H02S40/10,14,0.0014,11,否,否,否
G01N21/88,13,0.0013,10,否,否,否
G05B19/05,13,0.0013,10,否,否,否
G06F16/332,13,0.0013,10,否,否,否
B01D29/03,13,0.0013,10,否,否,否
E04H1/12,13,0.0013,10,否,否,否
G06F16/22,13,0.0013,10,否,否,否
B25J9/16,13,0.0013,10,否,否,否
G01N1/28,13,0.0013,10,否,否,否
B23P19/00,12,0.0012,9,否,否,否
G01R31/00,12,0.0012,9,否,否,否
B01F35/71,12,0.0012,9,否,否,否
B29C64/20,12,0.0012,9,否,否,否
B65G35/00,12,0.0012,9,否,否,否
G06V40/16,12,0.0012,9,否,否,否
H01M50/242,12,0.0012,9,否,否,否
H02J3/28,12,0.0012,9,否,否,否
G06V10/774,12,0.0012,9,否,否,否
B65F1/14,12,0.0012,9,否,否,否
E04G21/16,12,0.0012,9,否,否,否
G06F21/62,12,0.0012,9,否,否,否
G06Q50/06,11,0.0011,8,否,否,否
G06F1/16,11,0.0011,8,否,否,否
H01M4/36,11,0.0011,8,否,否,否
B07C5/34,11,0.0011,8,否,否,否
H04N21/2187,11,0.0011,8,否,否,否
B24B9/04,11,0.0011,8,否,否,否
G06V20/40,11,0.0011,8,否,否,否
H02J7/35,11,0.0011,8,否,否,否
H04L67/125,11,0.0011,8,否,否,否
H02J3/46,11,0.0011,8,否,否,否
G06F16/27,11,0.0011,8,否,否,否
B24B19/00,11,0.0011,8,否,否,否
H04B7/185,11,0.0011,8,否,否,否
H02S50/00,11,0.0011,8,否,否,否
G06F16/29,11,0.0011,8,否,否,否
B23B41/00,11,0.0011,8,否,否,否
G06Q50/20,11,0.0011,8,否,否,否
F16M11/42,11,0.0011,8,否,否,否
C02F9/02,10,0.001,8,否,否,否
F21S8/08,10,0.001,8,否,否,否
C01B32/184,10,0.001,8,否,否,否
A01G9/24,10,0.001,8,否,否,否
B29C45/26,10,0.001,8,否,否,否
H01M50/244,10,0.001,8,否,否,否
