ipc_code,sample_count,sample_ratio,estimated_80pct_train_samples,below_2,below_5,below_10
G06,1345,0.1363,1076,否,否,否
G01,648,0.0657,518,否,否,否
H04,572,0.058,457,否,否,否
H02,520,0.0527,416,否,否,否
B65,456,0.0462,364,否,否,否
H01,404,0.0409,323,否,否,否
B01,328,0.0332,262,否,否,否
B23,318,0.0322,254,否,否,否
A01,262,0.0266,209,否,否,否
B29,247,0.025,197,否,否,否
A61,210,0.0213,168,否,否,否
E04,192,0.0195,153,否,否,否
B60,185,0.0187,148,否,否,否
B25,165,0.0167,132,否,否,否
F16,165,0.0167,132,否,否,否
G05,151,0.0153,120,否,否,否
H05,147,0.0149,117,否,否,否
B21,144,0.0146,115,否,否,否
B08,139,0.0141,111,否,否,否
A23,126,0.0128,100,否,否,否
C12,116,0.0118,92,否,否,否
C02,113,0.0115,90,否,否,否
A47,107,0.0108,85,否,否,否
B24,102,0.0103,81,否,否,否
B66,101,0.0102,80,否,否,否
G08,99,0.01,79,否,否,否
C08,96,0.0097,76,否,否,否
G09,96,0.0097,76,否,否,否
F24,92,0.0093,73,否,否,否
B28,87,0.0088,69,否,否,否
B02,80,0.0081,64,否,否,否
E01,79,0.008,63,否,否,否
B05,73,0.0074,58,否,否,否
B07,72,0.0073,57,否,否,否
B22,68,0.0069,54,否,否,否
B26,68,0.0069,54,否,否,否
C07,65,0.0066,52,否,否,否
F21,61,0.0062,48,否,否,否
C01,61,0.0062,48,否,否,否
D06,61,0.0062,48,否,否,否
E21,61,0.0062,48,否,否,否
E02,56,0.0057,44,否,否,否
B41,54,0.0055,43,否,否,否
G16,54,0.0055,43,否,否,否
C04,53,0.0054,42,否,否,否
C09,51,0.0052,40,否,否,否
F26,51,0.0052,40,否,否,否
B62,50,0.0051,40,否,否,否
G07,44,0.0045,35,否,否,否
F25,40,0.0041,32,否,否,否
B64,36,0.0036,28,否,否,否
G02,36,0.0036,28,否,否,否
C03,34,0.0034,27,否,否,否
B63,33,0.0033,26,否,否,否
C22,33,0.0033,26,否,否,否
E03,32,0.0032,25,否,否,否
B67,32,0.0032,25,否,否,否
G10,31,0.0031,24,否,否,否
A21,27,0.0027,21,否,否,否
C21,27,0.0027,21,否,否,否
B61,27,0.0027,21,否,否,否
B32,26,0.0026,20,否,否,否
C25,25,0.0025,20,否,否,否
F04,25,0.0025,20,否,否,否
F28,24,0.0024,19,否,否,否
F27,23,0.0023,18,否,否,否
B31,23,0.0023,18,否,否,否
F03,22,0.0022,17,否,否,否
B27,21,0.0021,16,否,否,否
D01,21,0.0021,16,否,否,否
B30,20,0.002,16,否,否,否
C23,19,0.0019,15,否,否,否
F17,18,0.0018,14,否,否,否
E06,18,0.0018,14,否,否,否
B09,18,0.0018,14,否,否,否
A63,16,0.0016,12,否,否,否
C10,15,0.0015,12,否,否,否
A41,14,0.0014,11,否,否,否
A62,13,0.0013,10,否,否,否
F23,13,0.0013,10,否,否,否
E05,13,0.0013,10,否,否,否
D04,13,0.0013,10,否,否,否
A22,12,0.0012,9,否,否,否
B03,11,0.0011,8,否,否,否
A24,10,0.001,8,否,否,否
C05,9,0.0009,7,否,否,是
F22,9,0.0009,7,否,否,是
F01,9,0.0009,7,否,否,是
A45,9,0.0009,7,否,否,是
D05,9,0.0009,7,否,否,是
F15,8,0.0008,6,否,否,是
F02,8,0.0008,6,否,否,是
D03,7,0.0007,5,否,否,是
G11,7,0.0007,5,否,否,是
G03,7,0.0007,5,否,否,是
H03,7,0.0007,5,否,否,是
F41,7,0.0007,5,否,否,是
D21,7,0.0007,5,否,否,是
G21,5,0.0005,4,否,否,是
C11,5,0.0005,4,否,否,是
B04,4,0.0004,3,否,是,是
C30,4,0.0004,3,否,是,是
A43,4,0.0004,3,否,是,是
D02,3,0.0003,2,否,是,是
C14,3,0.0003,2,否,是,是
B44,3,0.0003,2,否,是,是
B42,3,0.0003,2,否,是,是
A44,3,0.0003,2,否,是,是
A42,3,0.0003,2,否,是,是
C06,2,0.0002,1,否,是,是
A46,2,0.0002,1,否,是,是
F42,2,0.0002,1,否,是,是
G04,1,0.0001,0,是,是,是
C40,1,0.0001,0,是,是,是
