fold,train_samples,valid_samples,classes_seen_in_train,unseen_valid_samples,ipc_level_1_accuracy,ipc_level_2_accuracy,ipc_level_3_accuracy
1,7887,1980,441,17,0.7459595959595959,0.5833333333333334,0.4737373737373737
2,7883,1984,430,28,0.7661290322580645,0.6174395161290323,0.5005040322580645
3,7887,1980,440,18,0.7555555555555555,0.6015151515151516,0.4818181818181818
4,7901,1966,445,13,0.754323499491353,0.5925737538148524,0.4801627670396745
5,7910,1957,447,11,0.7583035258048033,0.6131834440470108,0.5012774655084312
