fold,threshold,micro_f1,mean_predicted_labels
1,-1.0,0.08469984314843862,34.766031195840554
1,-0.95,0.14285111589250307,18.84315424610052
1,-0.9,0.20553712681806582,11.88734835355286
1,-0.85,0.2650518428160669,8.248700173310226
1,-0.8,0.31891114307845525,6.134315424610052
1,-0.75,0.36786242106677414,4.753032928942807
1,-0.7,0.40592032750747914,3.8067590987868285
1,-0.6499999999999999,0.43293445258081803,3.155112651646447
1,-0.6,0.4542749454473319,2.67157712305026
1,-0.55,0.4748759974121199,2.3214904679376085
1,-0.5,0.48556248556248555,2.0545927209705375
1,-0.44999999999999996,0.4915212582944212,1.8292894280762566
1,-0.3999999999999999,0.4882943143812709,1.67157712305026
1,-0.35,0.48762310354005856,1.5589254766031195
1,-0.29999999999999993,0.48384424192212094,1.4410745233968805
1,-0.25,0.48140789100198694,1.356152512998267
1,-0.19999999999999996,0.47560975609756095,1.2876949740034662
1,-0.1499999999999999,0.46856465005931197,1.2253032928942809
1,-0.09999999999999998,0.46620606788825475,1.1880415944540728
1,-0.04999999999999993,0.460650258280158,1.1551126516464472
1,0.0,0.45540913269996935,1.1308492201039861
1,0.050000000000000044,0.4526088298857672,1.110051993067591
1,0.10000000000000009,0.4490049751243781,1.0901213171577122
1,0.15000000000000013,0.44110275689223055,1.0693240901213172
1,0.20000000000000018,0.43877872206484103,1.0563258232235702
1,0.25,0.43805309734513276,1.0450606585788562
1,0.30000000000000004,0.435003170577045,1.0363951473136914
1,0.3500000000000001,0.43193384223918574,1.0277296360485269
1,0.40000000000000013,0.4298469387755102,1.0207972270363952
1,0.4500000000000002,0.42747603833865816,1.0155979202772965
1,0.5,0.42610364683301344,1.0121317157712304
2,-1.0,0.08301816314142971,35.15133276010318
2,-0.95,0.14137145224777295,19.073086844368014
2,-0.9,0.20556012918751188,11.89853826311264
2,-0.85,0.2698371222018988,8.192605331040413
2,-0.8,0.3265397037532019,6.041272570937231
2,-0.75,0.37456211263810296,4.702493551160791
2,-0.7,0.4084639498432602,3.8065348237317282
2,-0.6499999999999999,0.4396351278840994,3.128116938950989
2,-0.6,0.457347385166037,2.644883920894239
2,-0.55,0.4662045060658579,2.289767841788478
2,-0.5,0.4771196283391405,2.0223559759243335
2,-0.44999999999999996,0.47639902676399026,1.8546861564918316
2,-0.3999999999999999,0.47867177522349935,1.6870163370593294
2,-0.35,0.47707394646170154,1.5649183147033534
2,-0.29999999999999993,0.47126436781609193,1.4625967325881342
2,-0.25,0.46396396396396394,1.3748925193465176
2,-0.19999999999999996,0.45910138248847926,1.3061049011177988
2,-0.1499999999999999,0.45563689604685215,1.2570937231298367
2,-0.09999999999999998,0.4530321046373365,1.2132416165090283
2,-0.04999999999999993,0.4509331727874774,1.177128116938951
2,0.0,0.4455264759586123,1.1461736887360274
2,0.050000000000000044,0.4412396440625959,1.122957867583835
2,0.10000000000000009,0.4371517027863777,1.0980223559759243
2,0.15000000000000013,0.4339152119700748,1.0791057609630266
2,0.20000000000000018,0.4308560677328316,1.062768701633706
2,0.25,0.42933585143216874,1.0524505588993982
2,0.30000000000000004,0.42567994939911447,1.0395528804815133
2,0.3500000000000001,0.42422320862396956,1.0326741186586414
2,0.40000000000000013,0.422991425849476,1.0283748925193466
2,0.4500000000000002,0.42098569157392685,1.0249355116079106
2,0.5,0.4172248803827751,1.0163370593293206
3,-1.0,0.08398460282281582,35.33967156439066
3,-0.95,0.14358506980405153,19.154710458081244
3,-0.9,0.20874952585661904,11.962834917891097
3,-0.85,0.268992781024407,8.348314606741573
3,-0.8,0.32683790965456155,6.097666378565255
3,-0.75,0.3756742179072276,4.7009507346585995
3,-0.7,0.409261576971214,3.8159031979256697
3,-0.6499999999999999,0.4385559309976881,3.1512532411408816
3,-0.6,0.45655145479398557,2.7173725151253243
3,-0.55,0.47459807073954985,2.3232497839239414
3,-0.5,0.47989031078610606,2.073465859982714
3,-0.44999999999999996,0.47831354494790407,1.8582541054451167
3,-0.3999999999999999,0.476141872926767,1.6784788245462403
3,-0.35,0.47111817700052994,1.5531547104580812
3,-0.29999999999999993,0.46801530891197374,1.452895419187554
3,-0.25,0.4605447907891042,1.369057908383751
3,-0.19999999999999996,0.4582256675279931,1.3016421780466725
3,-0.1499999999999999,0.45412039742840443,1.2489196197061365
3,-0.09999999999999998,0.44635958395245173,1.1996542783059636
3,-0.04999999999999993,0.44518072289156624,1.1607605877268798
3,0.0,0.44003661885871226,1.1235955056179776
3,0.050000000000000044,0.43700061462815,1.1037165082108902
3,0.10000000000000009,0.4319801673380849,1.08038029386344
3,0.15000000000000013,0.4282601929660753,1.0682800345721695
3,0.20000000000000018,0.4232572678962176,1.0561797752808988
3,0.25,0.4203262233375157,1.0466724286949005
3,0.30000000000000004,0.4169811320754717,1.0397579948141746
3,0.3500000000000001,0.4138801261829653,1.031114952463267
3,0.40000000000000013,0.41139240506329117,1.0224719101123596
3,0.4500000000000002,0.40963855421686746,1.017286084701815
3,0.5,0.4098984771573604,1.0155574762316335
4,-1.0,0.08290848693164779,35.24446337308348
4,-0.95,0.1406636948984646,18.95741056218058
4,-0.9,0.20507627065004114,11.777683134582624
4,-0.85,0.2661908077994429,8.105621805792163
4,-0.8,0.3276267203759651,5.932708688245315
4,-0.75,0.375,4.562180579216355
4,-0.7,0.4193807155462859,3.6294718909710393
4,-0.6499999999999999,0.44702046730664735,3.0229982964224873
4,-0.6,0.46846846846846846,2.5749574105621806
4,-0.55,0.48411497730711045,2.2614991482112434
4,-0.5,0.4818329090488313,2.0008517887563886
4,-0.44999999999999996,0.4775900073475386,1.7981260647359454
4,-0.3999999999999999,0.4748459958932238,1.6388415672913117
4,-0.35,0.4759628154050465,1.5272572402044293
4,-0.29999999999999993,0.47506849315068495,1.4293015332197614
4,-0.25,0.4726661059714045,1.358603066439523
4,-0.19999999999999996,0.4687679083094556,1.293015332197615
4,-0.1499999999999999,0.46408839779005523,1.2495741056218057
4,-0.09999999999999998,0.45612998522895126,1.2035775127768313
4,-0.04999999999999993,0.452480573819486,1.170357751277683
4,0.0,0.4490657022302592,1.1465076660988074
4,0.050000000000000044,0.44322678843226787,1.1183986371379897
4,0.10000000000000009,0.4368098159509202,1.0971039182282794
4,0.15000000000000013,0.43483631871525635,1.0783645655877343
4,0.20000000000000018,0.4297674418604651,1.067291311754685
4,0.25,0.42630102835774386,1.0536626916524703
4,0.30000000000000004,0.42338961851156975,1.0442930153321976
4,0.3500000000000001,0.42082157416117905,1.036626916524702
4,0.40000000000000013,0.41734758013827783,1.030664395229983
4,0.4500000000000002,0.41401072893657304,1.0195911413969336
4,0.5,0.4126382306477093,1.01618398637138
5,-1.0,0.08224435712327516,35.695132365499575
5,-0.95,0.13937653814602133,19.134927412467977
5,-0.9,0.20380247223442305,11.924850555081127
5,-0.85,0.26451835257625367,8.226302305721605
5,-0.8,0.3215035931453842,6.039282664389411
5,-0.75,0.37126234609660397,4.626814688300597
5,-0.7,0.4123386842933585,3.7412467976088815
5,-0.6499999999999999,0.44893578966195674,3.089666951323655
5,-0.6,0.4714933912014204,2.6438941076003415
5,-0.55,0.48576931307511234,2.3057216054654144
5,-0.5,0.49508121711278885,2.0478223740392827
5,-0.44999999999999996,0.49685838569357177,1.8488471391972674
5,-0.3999999999999999,0.4964467005076142,1.6797608881298036
5,-0.35,0.49039726387792687,1.5610589239965842
5,-0.29999999999999993,0.48713085884584123,1.4671221178479932
5,-0.25,0.48235621005834955,1.3885567890691717
5,-0.19999999999999996,0.4778660612939841,1.3245089666951324
5,-0.1499999999999999,0.4703156675354764,1.2638770281810419
5,-0.09999999999999998,0.4651573066745075,1.219470538001708
5,-0.04999999999999993,0.45947556615017876,1.1810418445772843
5,0.0,0.45473684210526316,1.1545687446626816
5,0.050000000000000044,0.4486322188449848,1.1246797608881298
5,0.10000000000000009,0.44648318042813456,1.107600341588386
5,0.15000000000000013,0.4438964241676942,1.085397096498719
5,0.20000000000000018,0.4393422277381322,1.067463706233988
5,0.25,0.43480973175296317,1.0529461998292058
5,0.30000000000000004,0.4309426871280927,1.0418445772843723
5,0.3500000000000001,0.4295133437990581,1.0350128095644748
5,0.40000000000000013,0.4276729559748428,1.0307429547395388
5,0.4500000000000002,0.4263224181360202,1.02732707087959
5,0.5,0.42198357548957677,1.0187873612297182
