fold,train_documents,test_documents,threshold,benchmark_subclass_micro_precision,benchmark_subclass_micro_recall,benchmark_subclass_micro_f1,benchmark_subclass_macro_f1,benchmark_subclass_samples_f1,benchmark_subclass_exact_match,true_label_cardinality,predicted_label_cardinality,all_subclass_micro_precision,all_subclass_micro_recall,all_subclass_micro_f1,class_micro_precision,class_micro_recall,class_micro_f1,section_micro_precision,section_micro_recall,section_micro_f1,hierarchy_micro_precision,hierarchy_micro_recall,hierarchy_micro_f1
1,7780,1960,-0.44999999999999996,0.4658402203856749,0.5203076923076924,0.4915697674418605,0.2687076107568566,0.4812169434873516,0.1989795918367347,1.6581632653061225,1.8520408163265305,0.4658402203856749,0.513357619914997,0.4884459849797805,0.5660377358490566,0.5969609261939218,0.5810882197569994,0.7106399685904986,0.7342799188640974,0.7222665602553869,0.566542014958205,0.6043646603308694,0.5848424638092535
2,7800,1940,-0.3999999999999999,0.5008992805755396,0.5132063882063882,0.5069781553398058,0.26578778670352193,0.4939249725074467,0.21237113402061855,1.6783505154639176,1.7195876288659795,0.5008992805755396,0.5060569351907934,0.5034648990659837,0.6002231312755671,0.5824612053410321,0.5912087912087912,0.7478296816866474,0.7365635179153095,0.7421538461538462,0.6032685930838465,0.5972564192754133,0.6002474518352677
3,7764,1976,-0.5,0.44088370963826173,0.560840024706609,0.493679488922115,0.2910592583263812,0.48242987051185426,0.17459514170040485,1.638663967611336,2.0845141700404857,0.44088370963826173,0.5528158295281583,0.4905456509994598,0.5427323767935122,0.6218727662616155,0.5796135909393738,0.6972273567467653,0.7583433856051468,0.726502311248074,0.5425722831505484,0.6350058343057177,0.5851612903225807
4,7818,1922,-0.55,0.4199912319158264,0.5837903717245582,0.4885262621111678,0.31732532787440554,0.47912437891626236,0.14516129032258066,1.7075962539021852,2.3735691987513006,0.4199912319158264,0.5764139590854392,0.48592442302815114,0.5173483779971791,0.6580552565482598,0.5792798483891346,0.6752703174049529,0.7860332927324402,0.726454033771107,0.5181337707308183,0.6631677163517611,0.5817474933497032
5,7798,1942,-0.44999999999999996,0.4690363787836712,0.5121285627653123,0.48963617915639945,0.2735353235497282,0.4751817869737541,0.19001029866117405,1.698249227600412,1.8542739443872296,0.4690363787836712,0.5050837320574163,0.4863930885529158,0.5678756476683938,0.5869332381292396,0.5772471910112359,0.7174085850556439,0.7281161758773699,0.7227227227227228,0.5701287172658678,0.5957792207792207,0.5826718076661375
